100318,GRANINI PERA PET 1 L. (6),"17,97"
100319,GRANINI MANZANA 200cc. (24),"31,55"
100320,GRANINI PLATANO 200cc. (24),"31,55"
100321,GRANINI ARANDANOS PET 1L. (6),"20,64"
100322,GRANINI ARANDANOS 200cc. (24),"31,55"
100323,GRANINI POMELO PET 1 L. (6),"17,97"
100324,GRANINI GRANADA PET 1 L. (6),"17,97"
100327,GRANINI PLATANO PET 1 L. (6),"17,97"
100328,GRANINI MANZANA PET 1 L. (6),"21,28"
100329,GRANINI LIMONADA 200cc. (24),"31,55"
100338,GRANINI COCTEL FRUTAS PET 1 L. (6),"20,64"
100339,GRANINI MANZANA PET 33 CL.  (12),"16,37"
100343,LUZ BALIZA SOS GRANINI,"0,00"
100344,GRANINI ARANDANOS PET 33 CL. (12),"16,37"
100345,GRANINI PET 1.5L NARANJA (6),"28,90"
100346,GRANINI MINIBRICK NARANJA 20CL (30),"21,18"
100347,GRANINI LIMONADA PET 1 L. (6),"13,07"
100348,GRANINI NARANJA-MANGO PET L.,"17,97"
100349,GRANINI PET 1.5L MELOCOTON (6),"24,44"
100350,GRANINI COCO-PIÑA PET 1L (6),"17,98"
100351,GRANINI PET 1.5L PIÑA (6),"24,44"
100352,GRANINI PET 1.5L A+C+E (6),"24,44"
100353,GRANINI TOMATE PET 33 (12),"16,37"
100354,GRANINI LIMONADA PET 33CL (12),"16,37"
100355,GRANINI GUAYABA-PITAHAYA 200cc (24),"31,55"
100356,GRANINI GUAYABA-PITAHAYA 1L (6),"17,98"
100357,GRANINI GUAYABA-PITAHAYA PET 33CL (12),"16,37"
100401,YAMBO DESCAF EL CRIOLLO (80)-1700,"26,65"
100403,CAFE ETIQU NEGRA SELEC. ORO KG-2114,"25,43"
100404,CAFE EXTRA MEZCLA 85/15 KG-2107,"21,54"
100405,MEZCLA SELECTA 5* 85/15  KG-2109,"19,95"
100406,MOLIDO MEZCLA 80/20 EL CRIOLLO 250 GR-2201,"3,54"
100407,SELECTA 100% NATURAL GRANO KG-2103,"20,14"
100408,CAFE EXTRA 100% NATURAL KG-2101,"22,45"
100409,DESCAF. SOLUBLE EL CRIOLLO (100)-1200,"12,08"
100410,DESCAF. GRANO KG CRIOLLO-2111,"23,31"
1004102,CAFE ECOLOGICO DOBLE-LABEL KG-2141,"25,59"
1004104,CAFE GRANO EL SALVADOR 250 GRS-470,"6,63"
1004106,CAFE GRANO COLOMBIA PICO CRISTOBAL-491,"6,07"
1004107,DESCAF. GRANO AL AGUA 250 G.- 436,"6,11"
1004110,CAFE GRANO MEZCLA TRADICION 250 GR.-430,"5,40"
1004111,MOLIDO BRASIL 250 GR.-2206,"4,90"
1004113,MOLIDO COLOMBIA 250 GR.-2211,"5,02"
1004114,CAFE GRANO BLEND INSIGNIA 250 GR.-434,"6,07"
1004115,CAFE GRANO BRASIL CERRADO 250 GR.- 449,"5,20"
1004116,CAFE GRANO KENYA 250 GR. - 480,"9,75"
1004117,JENGIBRE LIMON (20) - 1514,"5,91"
1004118,CAFE GRANO INDIA MALABAR 250 GR.-445,"5,72"
100412,PLATINUM 3 KG EL CRIOLLO-2115,"89,08"
1004120,CHOCOLATE A LA TAZA (40)-1407,"13,15"
1004124,RISTRETTO CAPSULAS COMP. (10)-2359,"2,96"
1004125,COLOMBIA CAPSULAS COMP. (10)-2360,"3,13"
1004126,INTENSO CAPSULAS COMP. (10) - 2361,"3,13"
1004127,DESCAFEINADO CAPSULAS COMP. (10) - 2362,"2,93"
1004129,CAPSULAS BLACK RISTRETTO (96 UD)-2320,"42,04"
100413,AZUCAR EIZASA (1000 UD)-29038,"20,65"
1004130,CAPSULAS BLACK DESCAFEINADO (96 UD.)-2321,"42,04"
1004132,CHOCOLATE 750GR CRIOLLO-1402,"8,64"
1004133,PALETINA CAFE MADERA,"7,56"
1004134,AZUCAR ROMERO (1000UD) 29273,"26,07"
1004135,CAFE GRANO GUATEMALA 250 GR -476,"7,93"
1004136,DESCAF. LIOFILIZADO 250GR. - 1203,"12,81"
1004137,CAFE GRANO ETIOPIA LIMU-481,"5,61"
1004138,TE MATCHA 50GR-1352,"7,43"
1004139,CAFE GRANO PANAMA 250 GR-442,"7,80"
1004140,ETIQUETA NEGRA CAPSULAS 100 UD.-2306,"43,70"
1004141,CAFE GRANO COSTA RICA 250 GR-467,"13,28"
1004142,TE VERDE SENCHA BIO (20) - 1504,"5,91"
1004143,TE VERDE MARRAKECH BIO (20) - 1505,"5,91"
1004144,QUIJANO GR 100% ARABIGA MONODOSIS-2310,"31,27"
1004145,CAPUCHINO IRLANDES 1KG,"8,62"
100415,MOLIDO NATURAL 250 GRS-2202,"3,54"
100417,DESCAF ALIMEN. MOLIDO 250 GR-2203,"4,77"
100421,CAPSULAS ALTA SELEC (100 UD)-2304,"43,70"
100422,CAPSULAS DESCAFEINADO (100 UD)-2305,"43,70"
100423,CAFETERA  2 GRUPOS CAPSULAS,"0,00"
100424,CAFETERA 1 GRUPO CAPSULAS,"0,00"
100425,AZUCAR PALETINA 8 GR (1000 UD)-1112,"38,61"
100426,AZUCAR 6 GR  (1000 UD) 29201,"18,74"
100428,AZUCAR PACINO  (1000 UD) 29159,"28,43"
100430,AZUCAR MORENO 7 G (400 UD)-1111,"15,03"
100431,AZUCAR MORLANS (1000 UD),"27,98"
100433,AZUCAR TERRON 5 GR (1000 UD) - 1116,"20,82"
100434,EDULCORANTE  (400 UD)-1122,"10,35"
100435,GALLETAS LOTUS (300und)-1657,"18,85"
100437,TE CHAI (20)-1513,"5,91"
100438,AZUCAR CHURRON (1000 UD) 29106,"26,07"
100443,TE FRUTOS DEL BOSQUE 300 GR - 1319,"11,83"
100444,TE VERDE CHINA GUNDPOWDER 300 GR-1312,"11,64"
100445,TETERA COMPLETA FINUM 1639,"7,56"
100447,TE ROJO PU-ERH YUNNAN 300 GR-1316,"11,77"
100452,TE ROIBOS SUEÑOS DE VERANO 300 GR-1318,"11,25"
100454,TE COCKTAIL HAWAIANO 300 GR,"11,77"
100456,FRUTAS DE LA PASION 300 GR-1331,"11,77"
100459,TE VERDE ORGANICO 300 GR 1304,"13,00"
100460,MENTA POLEO GRANEL 100 GR-1302,"7,28"
100462,MANZANILLA EL CRIOLLO (100 UD)-1371,"6,06"
100463,MENTA POLEO CRIOLLO (100 UD)-1370,"6,06"
100464,TE EL CRIOLLO NEGRO (100UD)-1368,"6,06"
100465,TILA EL CRIOLLO (100UD) - 1369,"6,06"
100466,TE VERDE EL CRIOLLO (100 UD)-1372,"6,06"
100467,TE ROJO EL CRIOLLO (100 UD)-1373,"6,06"
100468,ENGLISH BREAKFAST (20)-1500,"5,91"
100469,MENTA FRESCA  (20)-1501,"5,91"
100470,MANZANILLA DIGEST(20)-1502,"5,91"
100471,TE ROJO PU ERH (20)-1503,"5,91"
100474,ROOIBOS VAINILLA (20)-1506,"5,91"
100475,ROOIBOS CANELA NARANJA (20)-1507,"5,91"
100476,RELAX (20) - 1508,"5,91"
100477,FRUTOS ROJOS (20)-1509,"5,91"
100478,TROPICAL (20) - 1510,"5,91"
100485,STEVIA EDULCORANTE-1123,"5,04"
100486,AZUCAR BALNEARIO (1000 UD)-29037,"26,07"
100488,COLA CAO SOBRE (50UD),"17,76"
100493,VASO CAFE VENDING (100UN) (30UN/C),"2,24"
100494,LECHE VENDING 100% 900 GR (12UN/C),"9,38"
100495,VENDING DESCAFEINADO 250 GR (12UN/C),"17,77"
100496,PALETINAS TRANSPARENTES (100 UN),"0,65"
100497,CHOCOLATE VENDING 1KG (10UN/C),"14,66"
100499,LECHE S/A GOLDEN 500 GR. (CRIOLLO)-1615,"5,82"
100502,TIO PEPE VINO DE JEREZ,"6,50"
100503,OPORTO SANDEMAN RUBI 1L,"5,18"
100506,BRANDY 1866 70cl.,"50,74"
100507,CARLOS III 70 cl.,"9,88"
100508,CENTENARIO DE TERRY LITRO,"9,09"
100509,DUQUE DE ALBA 70cl.,"27,43"
100510,LEPANTO LUJO 70cl.,"23,62"
1005102,CREMA ORUJO PICUEZO 0.70CL,"6,69"
1005106,GIN BOLSKAN,"26,40"
1005108,PASTIS 51,"13,23"
1005109,LICOR 43 1 L.,"16,44"
100511,MAGNO 70cl.,"9,61"
1005110,"VERMUT CASERO SIMO 1,5 L.","5,32"
1005111,CREMA ORUJO PICUEZO 3L.,"20,82"
1005113,GIN BULLDOG,"18,54"
1005115,RON PAMPERO,"11,52"
1005116,CARLOS I,"19,88"
1005117,RON BOTRAN AÑEJO 8 AÑOS,"14,89"
1005118,GIN LONDON BLACK DRY 5th,"12,30"
1005119,JURA 10 YEARS WHISKY,"27,22"
100512,MASCARO 70cl.,"12,60"
1005120,CREMA LICOR ORDOKI 70CL (15%),"8,66"
1005121,PATXAKA-MAGUILLA ORDOKI 70CL (25%),"8,66"
1005122,AGUARDIENTE ORUJO ORDOKI 70CL (42%),"10,60"
1005123,VERMUT JOVEN ORDOKI 1L (15%),"4,25"
1005124,VERMUT BARRICA ORDOKI 75CL (15%),"5,63"
1005125,LICOR CAFE ORDOKI 70CL (30%),"9,13"
1005127,LICOR HIERBAS ORDOKI 70CL (30%),"8,83"
1005128,ANIS DESTILADO ORDOKI 70CL (35%),"9,85"
1005129,MANDRAGORA ORDOKI 70CL (45%),"10,51"
100513,SOBERANO LITRO,"8,93"
1005130,MOSCATEL BLANCO ORDOKI 75CL (15%),"5,00"
1005131,MOSCATEL BARRICA ORDOKI 75CL (15%),"5,69"
1005132,TEQUILA MANGO 70CL,"8,76"
1005133,RON BACARDI 70 CL.,"14,78"
1005134,VODKA SMIRNOFF 70 CL.,"9,29"
1005136,WHISKY HIGHLAND DREAM 18 AÑOS 22,"64,50"
1005137,VODKA OVAL,"51,35"
1005138,JOHNNIE WALKER BLACK 12 AÑOS,"20,63"
